Generator,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,generation_blend_share,p_nom_max_cfe,technology,annual_fixed_costs,total_capital_cost,min_utilisation_rate,is_blend_or_ccs,max_utilisation_rate
TWN-GasCCSSequestered-2030_exo,TWN,PQ,gas-CCS-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,GasCCSSequestered,75.46,0.0,True,2030,30.0,310070.0,0.49,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.7,,gas-CCS-unspecified,124330.37,2775669.18,,True,0.66
TWN-BlueH2-2030_endo,TWN,PQ,blending-blueH2-gas-unspecified,0.0,0.0,True,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,BlueH2,70.75,0.0,True,2030,40.0,168837.0,0.59,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,,blending-blueH2-gas-unspecified,76835.99,1526071.0,,True,0.66
TWN-BlueH2_Gas-2030_endo,TWN,PQ,blending-blueH2-gas-unspecified,0.0,0.0,True,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,BlueH2_Gas,70.75,0.0,True,2030,40.0,168837.0,0.59,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.9,,blending-blueH2-gas-unspecified,76835.99,1526071.0,,True,0.66
TWN-GasCCSLeaked-2030_endo,TWN,PQ,gas-CCS-unspecified,0.0,0.0,True,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,GasCCSLeaked,75.46,0.0,True,2030,30.0,310070.0,0.49,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.3,,gas-CCS-unspecified,124330.37,2775669.18,,True,0.66
TWN-GasCCSSequestered-2030_endo,TWN,PQ,gas-CCS-unspecified,0.0,0.0,True,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,GasCCSSequestered,75.46,0.0,True,2030,30.0,310070.0,0.49,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.7,,gas-CCS-unspecified,124330.37,2775669.18,,True,0.66
TWN C&I Grid-solar-unspecified-ext-2030-PPA-Clean,TWN C&I Grid,PQ,solar-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,Solar,0.0,0.0,True,2030,20.0,102039.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,False,
TWN C&I Grid-onshorewind-unspecified-ext-2030-PPA-Clean,TWN C&I Grid,PQ,onshorewind-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,OnshoreWind,0.0,0.0,True,2030,25.0,158147.0,1.0,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,False,
TWN C&I Grid-blending-blueH2-gas-unspecified-ext-2030-PPA-Clean,TWN C&I Grid,PQ,blending-blueH2-gas-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,BlueH2,70.75,0.0,True,2030,40.0,168837.0,0.59,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,,,,,,True,0.66
TWN C&I Grid-blending-blueH2-gas-unspecified-ext-2030-PPA-Fossil,TWN C&I Grid,PQ,blending-blueH2-gas-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,BlueH2_Gas,70.75,0.0,True,2030,40.0,168837.0,0.59,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.9,,,,,,True,0.66
TWN C&I Grid-gas-CCS-unspecified-ext-2030-PPA-Fossil,TWN C&I Grid,PQ,gas-CCS-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,GasCCSLeaked,75.46,0.0,True,2030,30.0,310070.0,0.49,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.3,,,,,,True,0.66
TWN C&I Grid-gas-CCS-unspecified-ext-2030-PPA-Clean,TWN C&I Grid,PQ,gas-CCS-unspecified,0.0,0.0,False,0.0,inf,0.0,1.0,0.0,-inf,inf,0.0,1.0,GasCCSSequestered,75.46,0.0,True,2030,30.0,310070.0,0.49,False,0.0,0.0,0.0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.7,,,,,,True,0.66
